,Zipcode,ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Acreage,SupDist,ParkID,Location 1,Lat,Long,size,neighborhood,attributes,google_id,google_type,google_reviews
10,94102.0,TURK/HYDE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.11,6.0,192,"Hyde San Francisco, CA (37.78274031, -122.41596297)",37.78274031,-122.41596297,size_tiny,Hayes Valley/Tenderloin,"[Mini Park, size_tiny, Hayes Valley/Tenderloin]",ChIJoWRWf5qAhYARQOo8_T9IX-A,[premise],no reviews
11,94102.0,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,5.38,6.0,118,"Grove San Francisco, CA (37.77948045, -122.4175995)",37.77948045,-122.4175995,size_large,Hayes Valley/Tenderloin,"[Civic Plaza or Square, size_large, Hayes Valley/Tenderloin]",ChIJcxXYzZuAhYAR00HNoYgADzg,"[park, point_of_interest, establishment]","Awesome place for some photography! Plaza area is beautiful and has a nice view of City Hall. Must go place for a photographer on a nice sunny day. Just make sure if you go bring a friend or some sort of self defence weapon. The area is also used by a lot of homeless people and drug addicts. This is why I took a star off.The entire is breathtaking, I almost felt in Europe! The amplitude of the square enables you to admire the beauty of the buildings and in a beautiful day you can just sit on the grass and have a picnic. It's a must see for anyone coming to SFO.Practically at any given time of day and night, you will find drug dealers and their clientele hanging around the plaza in numbers. Situated between the Main Library, City Hall, Bill Graham Auditorium, Asian Art Museum and a California State building. It's a great open air plaza for lunch, for meeting your friends and a hot spot for tourist and their camera's. I come here often to ponder life, but be careful there's a lot of people pondering how to get your stuff!! Lol main library is there, as is city hall. The San Francisco Civic Center Plaza is a favorite spot for tourists and also for locals. It is spacious and there are plenty of spots for great photos. Plus, it is very close to BART train station stops and also Muni bus and rail stops. City Hall is here too in case you need to do something there, like get a marriage license or have a wedding ceremony performed."
12,94103.0,HOWARD/LANGTON MINI PARK,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.23,6.0,58,"Howard San Francisco, CA (37.77723739, -122.40981275)",37.77723739,-122.40981275,size_small,SoMa,"[Community Garden, size_small, SoMa]",ChIJActzVYKAhYARBZC1Fr87eIE,"[park, point_of_interest, establishment]",no reviews
13,94103.0,VICTORIA MANALO DRAVES PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.52,6.0,169,"Folsom San Francisco, CA (37.77700947, -122.40595532)",37.77700947,-122.40595532,size_large,SoMa,"[Neighborhood Park or Playground, size_large, SoMa]",ChIJMb8k6YGAhYARcSOLWWOsvoI,"[park, point_of_interest, establishment]","Decent refuge in the middle of the ghetto. Took my 3 year-old grandson and felt safe despite crackheads yelling outside the fenced park. But hey, welcome to San Francisco. Dogs are also allowed. But DO NOT go to the bathrooms. The cleaning lady was cussing louder than the crackheads.OK the park is fine but this review is really about New Nothing Cinema at 16 Sherman right next to the park, bring your own refreshments. You go to other web sites to find out what they are screening, for example ciis, sfmoma or shaping san francisco. I would love to review shaping san francisco at eric quezada center but it too is hard to place into 'my places' (sigh)Homeless black people sleeping in the grass all over.Thanks primarily to the efforts of  the SFPD and non profits supportive of students at Bessie Carmichael Elementary / Filipino Education Center, the park is now safe to use by children, youths and their families residing in San Francisco.I go bike riding through this park"
14,94103.0,GENE FRIEND REC CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.02,6.0,57,"270 6th St San Francisco, CA (37.77863929, -122.40635191)",37.77863929,-122.40635191,size_average,SoMa,"[Neighborhood Park or Playground, size_average, SoMa]",ChIJz-25d4GAhYARtl9vIfnlbMY,"[park, point_of_interest, establishment]","I love it its the bestit's awesome If you want to play b ball or workout go hereInside there is a gym, weight room, and a room for community meetings. Outside a grassy area, basketball court, and playground (two old wooden play structures over a sand base, spruced up with some newer art); too much litter."
15,94105.0,GUY PLACE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.0,6.0,445358,"4 8 Guy Place San Francisco, CA (37.7750329000483, -122.41916720030605)",37.7750329,-122.4191672,size_tiny,Embarcadero South,"[Mini Park, size_tiny, Embarcadero South]",ChIJNXceAXqAhYARVkO4Q2orXd0,"[park, point_of_interest, establishment]","It is under the freeway/bridge and all you can see our buildings beside you I don't understand where the view that people are talking about is from! I watch the whole park which isn't large really see of you. It's pebbles some dogs like thatBeautiful view, but they separate big and small dogs, which can be good and bad. My medium dog loves to run, chase balls, and play wrestle with big dogs. Some of the parents weren't very happy when I brought him into the bigger dog area.

I would recommend the Mission Bay Dog park, it's a beautiful walk too, has fake grass and trees, and a running area for all dogs. A great dog park with two separate fenced in areas for small and large dogs. A much appreciated addition to the Financial District - a place where grass is rare and the sidewalks play home, more often than not, to both dog and human waste. this park is maintained by volunteers so check the schedule on the bulletin board and come out one weekend to help keep the park clean. "
16,94107.0,Arkansas Friendship Garden,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.13,10.0,171727,"22nd/Arkansas, San Francisco, CA, (37.75737790, -122.39766207)",37.7573779,-122.39766207,size_tiny,Portrero Hill,"[Community Garden, size_tiny, Portrero Hill]",ChIJ21KstLV_j4ARQX5BFr_VMjA,[premise],no reviews
17,94107.0,POTRERO HILL MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.22,10.0,10416,"22nd San Francisco, CA (37.75744642, -122.3965207)",37.75744642,-122.3965207,size_small,Portrero Hill,"[Mini Park, size_small, Portrero Hill]",ChIJdUEEFLR_j4ARHo6_zTIvyuY,"[park, point_of_interest, establishment]",It's one of the best places for children but not much for young adults and they have a big field where you can play ball. I also came from the Community and it was fun.It's safe and very good for meditatingOne of the cleanest and freshest place to get your bball on. recommendNot much going on for adults. Good classes for kids. Playground with a fire engine behind. Best kid play area in the neighborhood! 
18,94107.0,ESPRIT PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.83,10.0,193,"Minnesota St, San Francisco, CA, (37.76098611, -122.39099369)",37.76098611,-122.39099369,size_average,Portrero Hill,"[Neighborhood Park or Playground, size_average, Portrero Hill]",ChIJtU7x7rd_j4ARaHZtto2FX5E,"[park, point_of_interest, establishment]","A nice park popular for those with dogs. It has a nice jogging trail and fitness stations like pull up bars and rings. It's also nicely maintained.I love this park, it's small very well maintained has a walking loop, some exercise equipment. It's dog friendly and near quaint little businesses like coffee, sandwich, and corner stores.The corners of the park have exercise stations if your looking for a quick calisthenics workout.  The center of the park is a popular space for dogs to run around.Esprit Park is a great place for many different things. Recently did a photo shoot in the morning and very happy with the results. A great place to jog around for warm ups, chill with a book, write and play with your dog. It's a perfect place nestled in Dogpatch District.My dog’s favorite park! Great park for dogs but it is a mixed use park so discretion needs to be used. Some neighbors like to complain to the city and force the leash laws. Watch out for the warden. "
19,94107.0,POTRERO HILL RECREATION CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,10.07,10.0,52,"801 Arkansas St San Francisco, CA (37.75613966, -122.39688179)",37.75613966,-122.39688179,size_huge,Portrero Hill,"[Neighborhood Park or Playground, size_huge, Portrero Hill]",ChIJdUEEFLR_j4ARHo6_zTIvyuY,"[park, point_of_interest, establishment]",It's one of the best places for children but not much for young adults and they have a big field where you can play ball. I also came from the Community and it was fun.It's safe and very good for meditatingOne of the cleanest and freshest place to get your bball on. recommendNot much going on for adults. Good classes for kids. Playground with a fire engine behind. Best kid play area in the neighborhood! 
20,94107.0,Connecticut Friendship Garden,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.14,10.0,171700,"22nd/Connecticut, San Francisco, CA, (37.75739852, -122.39731712)",37.75739852,-122.39731712,size_tiny,Portrero Hill,"[Community Garden, size_tiny, Portrero Hill]",ChIJx-RIS7R_j4ARO90GDHeVAr4,"[park, point_of_interest, establishment]",no reviews
21,94107.0,SOUTH PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.12,6.0,56,"64 Park Ave San Francisco, CA (37.78157949, -122.39395227)",37.78157949,-122.39395227,size_average,Portrero Hill,"[Neighborhood Park or Playground, size_average, Portrero Hill]",ChIJWxAi73iAhYARdA8rP4kLEI8,"[neighborhood, political]",no reviews
22,94107.0,JACKSON PLAYGROUND,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,4.41,10.0,54,"17th San Francisco, CA (37.7643148, -122.3996072)",37.7643148,-122.3996072,size_large,Portrero Hill,"[Neighborhood Park or Playground, size_large, Portrero Hill]",ChIJnf3sn8x_j4ARZ2gNoDGp3wk,"[point_of_interest, establishment]","Good park to get a quick workout in or lounge on the fields during the day.  The basketball and tennis courts are taken in the afternoons by the school kids playing.  During the evening, the fields are usually occupied for softball/baseball games.What a cute and functional park!

I come here with my softball league for games every Wednesday night. The fields here are well kept and well lit! The backstops are also in good condition (not falling apart) and the baselines are chalked. There are two fields here, but typically when we come, only one field is being used. It could get a little crowded in the outfield if there were two games going on at once. The restroom facilities are nice and there is a large playground near by for children. There are bleachers and picnic benches for spectators. Definitley a great park to bring the kids to to play or for some softball games!Great neighborhood playground with a couple of diamonds next to it, plus an indoor bball court. Full of families with kids all days of the week.Small and big play structure over a sand base. Basketball & tennis court adjacent. Restrooms in small clubhouse.Relative to other local parks, particularly unspectacular. "
23,94107.0,MCKINLEY SQUARE,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.81,10.0,53,"20th St San Francisco, CA (37.75913976, -122.40469058)",37.75913976,-122.40469058,size_large,Portrero Hill,"[Neighborhood Park or Playground, size_large, Portrero Hill]",ChIJdZA0ojV-j4AR3fv2Vtt5yO8,"[park, point_of_interest, establishment]","This is a good meet-up spot for your your descent of the REAL crookedest street. Yes the spaghetti stretch of Vermont street from here to 22rd street is far crookeder than the well-known block of Lombard Street and far fewer fumes to inhale. Please wear a helmet if skateboarding. If not SF General Hospital is right across the freeway -- don't try to jump over, use the bridge.Playground with a small structure and sandbox for little kids and a 2-story structure for big kids. No restrooms. Grassy area had been taken over by dog owners despite signs not allowing off-leash dogs. Picnic tables."
24,94108.0,WILLIE WOO WOO WONG PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.61,3.0,139,"Sacramento St, San Francisco, CA, (37.79358605, -122.40718489)",37.79358605,-122.40718489,size_small,Chinatown,"[Neighborhood Park or Playground, size_small, Chinatown]",ChIJlRvon4yAhYARMw91ij6m610,"[park, point_of_interest, establishment]","Just say the name of this place 5 times fastThis playground has the best name in the world. Your kids will ask for it by name for the rest of their lives, same way San Franciscans chanted it every time Willie took it to da hoop!Busy urban playground in Chinatown. Tennis and volleyball on one level, basketball on another, and play structures on a third!"
25,94108.0,COLLIS P. HUNTINGTON PARK,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.07,3.0,137,"California San Francisco, CA (37.79216576, -122.41215294)",37.79216576,-122.41215294,size_average,Chinatown,"[Civic Plaza or Square, size_average, Chinatown]",ChIJzYeZZ42AhYAR7fxkTExkME4,"[park, point_of_interest, establishment]","The grassy areas where dogs are explicitly allowed are limited to the edge areas surrounding the park. It's a bit frustrating to visit many different parks, some of the only grassy areas in the city, just to be told that dogs aren't actually allowed in the grass. The location is great, the views are gorgeous, and there are always quite a few dogs/walkers there!Fantastic little park nestled in the heart of Nob Hill. Grace Cathedral is right across the street and there are plenty of benches to grab a seat and hang out.

San Francisco is big on dogs; this park will make that very clear. Lots of cool pups running around doing what they do best. The park is lit up in Christmas lights during the holiday season, so you should definitely swing by if you're around. Amazing view of the grace cathedral. I sat on a bench and relaxed. Great views. Love seeing the dogs, the tai chi in the mornings and the sound of the fountain. This is a great oasis, and very peaceful.  "
26,94108.0,UNION SQUARE,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.6,3.0,135,"Post San Francisco, CA (37.78793122, -122.40750049)",37.78793122,-122.40750049,size_large,Chinatown,"[Civic Plaza or Square, size_large, Chinatown]",ChIJJ6m71o6AhYARiUxigIz3gLw,"[park, point_of_interest, establishment]","Union Square the mecca for all tourist. Not as big or popular like the big apple, but it holds a tradition. Union hold monthly events during warmer weather months. Winter holidays they've ice skating. Small boutique shops as well as big brand name shops are abundance. Love this area as I can play tourist just to get a feel what's its like. It never disappoint me due to the fact that transportation brings you in the heart of the action.Great open area that always has something going on whether it's Santacon or Valentine's Day. It's also nearby to some great shops and is a lovely place for tourists to check out. Also acts as a great meeting point. Great place for shopping and to hang out. Also great to meet people from all over the world. This is the number one shopping district in San Francisco and there is always something going on. Right now a lot of construction is going on in this area, which will still take a while to be finished.This is a beautiful place however, I have mixed emotions because, it's a richy rich playground. No average person can afford to shop in the nearby stores so if you see in the park it could be a little bit depressing. I am very sorry to see the gentrification that is occurring daily in San Francisco, when I was a teenager I would ride my bike at Union Square doing all kinds of neat tricks and jumps, but today I don't believe that would be possible where are the kids supposed to play?Definitely a spot to visit. Union Square offers an open space for fun and relaxation in the middle of the shopping euphoria. It's surrounded by beautiful stores and in Christmas you can enjoy de skating rink as well as the beautiful decorations."
27,94108.0,ST MARY'S SQUARE,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.11,3.0,136,"California St San Francisco, CA (37.79205617, -122.40511712)",37.79205617,-122.40511712,size_average,Chinatown,"[Civic Plaza or Square, size_average, Chinatown]",ChIJv0JHy4uAhYAR4XqkTO2pCLk,"[park, parking, point_of_interest, establishment]","DO NOT PARK HERE !!!!!!!
This place did not give me a ticket to get out instead they gave me my blue ticket back. I've never parked here so I didn't know any better. When I tried to exit and couldn't I explained to them what was happening . Instead of helping the manager coned my car in  blocking me from backing up. After arguing for awhile with manager she said I could pay another $45 that's almost $100 total to get out of garage . I did not pay I lifted the gate and me my wife and crying baby at this point drove out and home . I've never been treated so horrible my any company and will continue to post this if they remove it . I literally hate driving around SF during the holiday season. Especially when it's the weekend and you can't find parking anywhere nearby Union Square. I usually like to park my car at the Sutter and Stockton garage, because it's really cheap. Hey, it's the holidays!! You know how difficult it is to get around that area? Traffic! Don't fret my friends. I found a place you can park your car for less than $10 during the weekends.

$7 a day during the weekends, you can situate your luxurious or tugboat of a car here. Great find personally if you ask me. Walking distance to Union Square, Chinatown within a two minute walk, and neighboring areas. Why waste your time driving around Union Square? You'll pay an extra arm and a leg to park your car for two to three hours? Hell no! Park your car here as long as you want before 4am. $7 for more than half the day spent in SF? Hell yes!!

Warning! Don't be surprised when you drive inside and can't understand how to leave and get inside the garage, because their sense of directions is unnerving. Downside to that portion but overall, you're saving yourself the extra $20-30!!For unknown reasons, while my car was in the care of their Valet service, my hood was popped via the in-car lever. The car was returned to me in this condition. Since the hood was just popped but not fully unlatched, I didn't notice until ten minutes later when I was driving 70 mph on the freeway, and saw the hood start bobbing up and down in the wind. Luckily, I was able to get off the freeway quickly and shut it properly before anything bad happened.

Why did they pop the hood? The only legitimate excuse is that they thought it was the emergency brake release, but in that case once they realized their error, why did they not close the hood? The other possibility is that they thought it was the trunk release, which means they were looking for valuables to steal.

Either way, I will of course never park here again.comftableThey are complete idiots!  I had been hit by a hit-and-run driver while parked.  They showed no compassion and resisted filling out a claim form.  The parking ticket explains that all claims must be handled before leaving or the claim is void.  They tried to hustle me out without my claim form and took 20 min for what would have taken me 3. I would question if they're using legal labor."
28,94108.0,CHINESE RECREATION CENTER,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.65,3.0,140,"1101 Washington St San Francisco, CA (37.79420965, -122.41178577)",37.79420965,-122.41178577,size_small,Chinatown,"[Neighborhood Park or Playground, size_small, Chinatown]",ChIJZVwyuvKAhYARaaTVL4c--E0,"[point_of_interest, establishment]","Its the only consistent place to find fullcourt pickup games in the city that has decent competition. Every Thursday & Friday. Lots...of arguing about who has next and who was here before who. They run the width of the court, which is weird and if fast break, cherry picking cheating baskteball isnt your game, then dont go. Every once in a while, we'll get a good group  running on the other side, but the cliques eventually swindle through when the competition level switches and cause the same problems about who has next and such. Just play with your friends at an outdoor court.Playground is nice and new and shiny, but only open when the center is open (not Sunday or Monday). Not much shade and all rubber turf and buildings so it can get pretty hot. L-shape can make it hard to keep track of kids. Restrooms. Teenage hangout too.This city-run rec facility is clean, new, and free.  The indoor basketball court is well maintained and always has pickup games.  There are definitely cliques and regulars on the court, but everyone is fair and if you are patient you will be able to play.  Winner holds the court.  Very good. NiceThis center is open until 7pm Mondays, and 9pm T-Th. There are 3 full courts for basketball and usually a good turnout. Games range in competitiveness from middle school aged kids to serious adult pickup games. Free and open to the public."
29,94108.0,PORTSMOUTH SQUARE,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.29,3.0,141,"Washington San Francisco, CA (37.79483492, -122.40535067)",37.79483492,-122.40535067,size_average,Chinatown,"[Neighborhood Park or Playground, size_average, Chinatown]",ChIJf1BnI4uAhYARx9sf7Czd0TM,"[parking, point_of_interest, establishment]",Had to pay a fee because we used over 10min to find our car. Bad service and didn't speak English. We're not coming back..Easiest place to park for a (relatively) quick lunch in Chinatown. Good way to know how local people live.The place is very well located. Staff are efficient as well.
30,94108.0,Hooker Alley Community Garden,Community Garden,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.06,3.0,171743,"Hooker Aly, San Francisco, CA, (37.79043353, -122.41017264)",37.79043353,-122.41017264,size_tiny,Chinatown,"[Community Garden, size_tiny, Chinatown]",ChIJjWz6tY2AhYAR0PFg6M_NCDQ,"[park, point_of_interest, establishment]",no reviews
