Zipcode,ParkName,ParkType,ParkServiceArea,PSAManager,email,Number,Acreage,SupDist,ParkID,Location 1,Lat,Long,size,neighborhood
94102,JOSEPH L. ALIOTO PERFORMING ARTS PIAZZA,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,5.38,6,118,"Grove San Francisco, CA (37.77948045, -122.4175995)",37.77948045,-122.4175995,size_large,Hayes Valley/Tenderloin
94103,HOWARD/LANGTON MINI PARK,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.23,6,58,"Howard San Francisco, CA (37.77723739, -122.40981275)",37.77723739,-122.40981275,size_small,SoMa
94103,VICTORIA MANALO DRAVES PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.52,6,169,"Folsom San Francisco, CA (37.77700947, -122.40595532)",37.77700947,-122.40595532,size_large,SoMa
94103,GENE FRIEND REC CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.02,6,57,"270 6th St San Francisco, CA (37.77863929, -122.40635191)",37.77863929,-122.40635191,size_average,SoMa
94105,GUY PLACE MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0,6,445358,"4 8 Guy Place San Francisco, CA (37.7750329000483, -122.41916720030605)",37.7750329000483,-122.41916720030605,size_tiny,Embarcadero South
94107,Arkansas Friendship Garden,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.13,10,171727,"22nd/Arkansas, San Francisco, CA, (37.75737790, -122.39766207)",37.75737790,-122.39766207,size_tiny,Portrero Hill
94107,POTRERO HILL MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.22,10,10416,"22nd San Francisco, CA (37.75744642, -122.3965207)",37.75744642,-122.3965207,size_small,Portrero Hill
94107,ESPRIT PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.83,10,193,"Minnesota St, San Francisco, CA, (37.76098611, -122.39099369)",37.76098611,-122.39099369,size_average,Portrero Hill
94107,POTRERO HILL RECREATION CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,10.07,10,52,"801 Arkansas St San Francisco, CA (37.75613966, -122.39688179)",37.75613966,-122.39688179,size_huge,Portrero Hill
94107,Connecticut Friendship Garden,Community Garden,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.14,10,171700,"22nd/Connecticut, San Francisco, CA, (37.75739852, -122.39731712)",37.75739852,-122.39731712,size_tiny,Portrero Hill
94107,SOUTH PARK,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,1.12,6,56,"64 Park Ave San Francisco, CA (37.78157949, -122.39395227)",37.78157949,-122.39395227,size_average,Portrero Hill
94107,JACKSON PLAYGROUND,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,4.41,10,54,"17th San Francisco, CA (37.7643148, -122.3996072)",37.7643148,-122.3996072,size_large,Portrero Hill
94107,MCKINLEY SQUARE,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.81,10,53,"20th St San Francisco, CA (37.75913976, -122.40469058)",37.75913976,-122.40469058,size_large,Portrero Hill
94108,WILLIE WOO WOO WONG PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.61,3,139,"Sacramento St, San Francisco, CA, (37.79358605, -122.40718489)",37.79358605,-122.40718489,size_small,Chinatown
94108,COLLIS P. HUNTINGTON PARK,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.07,3,137,"California San Francisco, CA (37.79216576, -122.41215294)",37.79216576,-122.41215294,size_average,Chinatown
94108,UNION SQUARE,Civic Plaza or Square,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,2.6,3,135,"Post San Francisco, CA (37.78793122, -122.40750049)",37.78793122,-122.40750049,size_large,Chinatown
94108,ST MARY'S SQUARE,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.11,3,136,"California St San Francisco, CA (37.79205617, -122.40511712)",37.79205617,-122.40511712,size_average,Chinatown
94108,CHINESE RECREATION CENTER,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.65,3,140,"1101 Washington St San Francisco, CA (37.79420965, -122.41178577)",37.79420965,-122.41178577,size_small,Chinatown
94108,PORTSMOUTH SQUARE,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,1.29,3,141,"Washington San Francisco, CA (37.79483492, -122.40535067)",37.79483492,-122.40535067,size_average,Chinatown
94108,Hooker Alley Community Garden,Community Garden,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.06,3,171743,"Hooker Aly, San Francisco, CA, (37.79043353, -122.41017264)",37.79043353,-122.41017264,size_tiny,Chinatown
94109,ALICE MARBLE TENNIS COURTS,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,0.84,2,151,"Greenwich San Francisco, CA (37.80142776, -122.42034327)",37.80142776,-122.42034327,size_average,Nob Hill/Russian Hill
94109,RUSSIAN HILL OPEN SPACE,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.96,2,153,"Hyde San Francisco, CA (37.80341611, -122.42075699)",37.80341611,-122.42075699,size_average,Nob Hill/Russian Hill
94109,WASHINGTON/HYDE MINI PARK,Mini Park,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,0.15,3,144,"Washington San Francisco, CA (37.79400955, -122.41740007)",37.79400955,-122.41740007,size_tiny,Nob Hill/Russian Hill
94109,SGT. JOHN MACAULAY PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.21,6,123,"Larkin San Francisco, CA (37.78540001, -122.41819743)",37.78540001,-122.41819743,size_huge,Nob Hill/Russian Hill
94109,JOSEPH CONRAD MINI PARK,Mini Park,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,0.09,3,154,"601 Beach St San Francisco, CA (37.80667244, -122.41906274)",37.80667244,-122.41906274,size_tiny,Nob Hill/Russian Hill
94109,HYDE/VALLEJO MINI PARK,Mini Park,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,0.1,3,146,"Hyde San Francisco, CA (37.79763564, -122.41910564)",37.79763564,-122.41910564,size_tiny,Nob Hill/Russian Hill
94109,TENDERLOIN CHILDREN'S REC CENTER,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.61,6,168,"570 Ellis St San Francisco, CA (37.78482103, -122.41540228)",37.78482103,-122.41540228,size_small,Nob Hill/Russian Hill
94109,HELEN WILLS PLAYGROUND,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,0.8,3,130,"BRdway San Francisco, CA (37.79577299, -122.42066143)",37.79577299,-122.42066143,size_huge,Nob Hill/Russian Hill
94109,BROADWAY TUNNEL WEST MINI PARK,Mini Park,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,0.12,3,203,"1201 Broadway San Francisco, CA (37.79643576, -122.41742319)",37.79643576,-122.41742319,size_tiny,Nob Hill/Russian Hill
94109,SOUTH END ROWING/DOLPHIN CLUB,Concession,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,1.11,3,190,"500 Jefferson St San Francisco, CA (37.80796044, -122.42126376)",37.80796044,-122.42126376,size_average,Nob Hill/Russian Hill
94109,LAFAYETTE PARK,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,11.49,2,128,"Gough San Francisco, CA (37.79154983, -122.42767158)",37.79154983,-122.42767158,size_huge,Nob Hill/Russian Hill
94110,COSO/PRECITA MINI PARK,Mini Park,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.15,9,199,"Coso San Francisco, CA (37.74624354, -122.41812033)",37.74624354,-122.41812033,size_tiny,Mission District
94110,BERNAL HEIGHTS RECREATION CENTER,Neighborhood Park or Playground,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.74,9,33,"500 Moultrie San Francisco, CA (37.73844636, -122.41615685)",37.73844636,-122.41615685,size_small,Mission District
94110,Dog Patch-Miller Memorial Comm. Garden,Community Garden,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.26,9,35,"Brewster/Rutledge St, San Francisco, CA, (37.74503985, -122.40715464)",37.74503985,-122.40715464,size_small,Mission District
94110,UTAH/18TH MINI PARK,Mini Park,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,0.1,10,202,"18th San Francisco, CA (37.76251745, -122.40599759)",37.76251745,-122.40599759,size_tiny,Mission District
94110,24TH/YORK MINI PARK,Mini Park,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.12,9,51,"24th San Francisco, CA (37.75306042, -122.40857543)",37.75306042,-122.40857543,size_tiny,Mission District
94110,Park St Community Garden,Community Garden,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.05,9,171731,"Park San Francisco, CA (37.73647064, -122.42577666)",37.73647064,-122.42577666,size_tiny,Mission District
94110,HOLLY PARK,Neighborhood Park or Playground,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,8.15,9,32,"Holly Park Cir, San Francisco, CA, (37.73720955, -122.41994010",37.73720955,-122.41994010,size_huge,Mission District
94110,MULLEN/PERALTA MINI PARK,Mini Park,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.45,9,176,"Mullen San Francisco, CA (37.74607638, -122.40880708)",37.74607638,-122.40880708,size_small,Mission District
94110,JOSE CORONADO PLAYGROUND,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.78,9,60,"21st San Francisco, CA (37.75754628, -122.41510589)",37.75754628,-122.41510589,size_small,Mission District
94110,BERNAL HEIGHTS PARK,Neighborhood Park or Playground,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,26.34,9,36,"Bernal Heights Blvd, San Francisco, CA, (37.74313167, -122.41425204)",37.74313167,-122.41425204,size_huge,Mission District
94110,Ogden Terrace Community Garden,Community Garden,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.15,9,171609,"700 Ogden Ave San Francisco, CA (37.73580357, -122.41203411)",37.73580357,-122.41203411,size_tiny,Mission District
94110,FRANKLIN SQUARE,Neighborhood Park or Playground,PSA 2,"Hill, Eric",eric.hill@sfgov.org,(415) 254-8030,5.18,6,55,"16th San Francisco, CA (37.76501506, -122.4093148)",37.76501506,-122.4093148,size_large,Mission District
94110,POTRERO DEL SOL PARK,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,4.36,10,49,"Potrero San Francisco, CA (37.75060695, -122.40507971)",37.75060695,-122.40507971,size_large,Mission District
94110,MISSION PLAYGROUND,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,2.03,8,61,"19th San Francisco, CA (37.7592917, -122.42230064)",37.7592917,-122.42230064,size_average,Mission District
94110,MISSION REC CENTER,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.63,9,59,"2450 Harrison St San Francisco, CA (37.75813659, -122.41292225)",37.75813659,-122.41292225,size_small,Mission District
94110,JURI COMMONS,Mini Park,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.32,9,23,"Guerrero San Francisco, CA (37.74950391, -122.42199245)",37.74950391,-122.42199245,size_small,Mission District
94110,PRENTISS MINI PARK,Mini Park,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.06,9,201,"Prentiss San Francisco, CA (37.74021712, -122.41187368)",37.74021712,-122.41187368,size_tiny,Mission District
94110,KID POWER PARK,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.23,6,191,"45 Hoff St San Francisco, CA (37.76415431, -122.42027989)",37.76415431,-122.42027989,size_small,Mission District
94110,GARFIELD SQUARE,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,2.93,9,24,"26th San Francisco, CA (37.75020058, -122.4122356)",37.75020058,-122.4122356,size_large,Mission District
94110,Good Prospect Community Garden,Community Garden,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.11,9,21141,"100 Cortland Ave San Francisco, CA (37.74002499, -122.42097734)",37.74002499,-122.42097734,size_tiny,Mission District
94110,PARQUE NINOS UNIDOS,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.53,9,187,"23rd San Francisco, CA (37.75439053, -122.41356906)",37.75439053,-122.41356906,size_small,Mission District
94110,ALIOTO MINI PARK,Mini Park,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.16,9,62,"20th San Francisco, CA (37.75890196, -122.41821702)",37.75890196,-122.41821702,size_tiny,Mission District
94110,COLERIDGE MINI PARK,Mini Park,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.21,9,34,"Coleridge San Francisco, CA (37.74442266, -122.41966647)",37.74442266,-122.41966647,size_huge,Mission District
94110,Dearborn Community Garden,Community Garden,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.15,8,137654,"59 Dearborn St San Francisco, CA (37.76237833, -122.42274353)",37.76237833,-122.42274353,size_tiny,Mission District
94110,ST MARY'S REC CENTER,Neighborhood Park or Playground,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,13.6,9,31,"Murray San Francisco, CA (37.73365828, -122.42064294)",37.73365828,-122.42064294,size_huge,Mission District
94110,Wolfe Lane Community Garden,Community Garden,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,0.05,9,171608,"90 Rutledge St San Francisco, CA (37.74528401, -122.4066037)",37.74528401,-122.4066037,size_tiny,Mission District
94110,PRECITA PARK,Neighborhood Park or Playground,PSA 6,"Miller, John",john.miller@sfgov.org,(415) 513-2577,2.21,9,37,"3200 Folsom St San Francisco, CA (37.74706232, -122.41202466)",37.74706232,-122.41202466,size_large,Mission District
94110,JAMES ROLPH JR PLAYGROUND,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,2.93,9,50,"Potrero San Francisco, CA (37.7497274, -122.40623124)",37.7497274,-122.40623124,size_large,Mission District
94111,JUSTIN HERMAN/EMBARCADERO PLAZA,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,4.33,3,138,"Clay San Francisco, CA (37.79487978, -122.39476577)",37.79487978,-122.39476577,size_large,Embarcadero North
94111,MARITIME PLAZA,Civic Plaza or Square,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 254-8014,2.01,3,142,"285 Washington St San Francisco, CA (37.79560513, -122.39923889)",37.79560513,-122.39923889,size_average,Embarcadero North
94111,SUE BIERMAN PARK,Neighborhood Park or Playground,PSA 1,"Cleveland, Maggie",maggie.cleveland@sfgov.org,(415) 601-7277,4.41,3,143,"Clay St San Francisco, CA (37.79592597, -122.3965106)",37.79592597,-122.3965106,size_large,Embarcadero North
94112,JOHN MCLAREN PARK,Regional Park,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,312.54,10,28,"Mansell San Francisco, CA (37.7180842, -122.41907209)",37.7180842,-122.41907209,size_huge,Ingleside
94112,ALICE CHALMERS PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,1.68,11,25,"670 Brunswick San Francisco, CA (37.7098271, -122.44665065)",37.7098271,-122.44665065,size_average,Ingleside
94112,LESSING/SEARS MINI PARK,Mini Park,PSA 3,"Watkins, Robert",robert.watkins@sfgov.org,(415) 819-6138,0.15,11,14,"Sickles San Francisco, CA (37.70860406, -122.4553029)",37.70860406,-122.4553029,size_tiny,Ingleside
94112,BALBOA PARK,Neighborhood Park or Playground,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,24.02,11,66,"Ocean San Francisco, CA (37.72494861, -122.44462659)",37.72494861,-122.44462659,size_huge,Ingleside
94112,EXCELSIOR PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,1.61,11,29,"Russia Ave San Francisco, CA (37.7203554, -122.43321862)",37.7203554,-122.43321862,size_average,Ingleside
94112,CAYUGA/LAMARTINE MINI PARK,Mini Park,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,0.12,11,159,"Cayuga San Francisco, CA (37.73033758, -122.43294264)",37.73033758,-122.43294264,size_tiny,Ingleside
94112,GENEVA AVENUE STRIP,Mini Park,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,0.23,11,21,"600 Geneva San Francisco, CA (37.72046082, -122.44546412)",37.72046082,-122.44546412,size_small,Ingleside
94112,CAYUGA PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,2.69,11,15,"301 Naglee Ave San Francisco, CA (37.71388814, -122.45029719)",37.71388814,-122.45029719,size_large,Ingleside
94112,MINNIE & LOVIE WARD REC CENTER,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,10.3,11,19,"650 Capitol San Francisco, CA (37.71577016, -122.45757024)",37.71577016,-122.45757024,size_huge,Ingleside
94112,CROCKER AMAZON PLAYGROUND,Neighborhood Park or Playground,PSA 3,"Taylor, Zack",zack.taylor@sfgov.org,(415) 601-7277,56.46,11,164,"Moscow San Francisco, CA (37.7140459, -122.42923866)",37.7140459,-122.42923866,size_huge,Ingleside
94114,SEWARD MINI PARK,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.37,8,73,"Seward San Francisco, CA (37.75761058, -122.44006058)",37.75761058,-122.44006058,size_small,Castro
94114,NOE/BEAVER COMMUNITY GARDEN,Community Garden,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,0.11,8,64,"Noe San Francisco, CA (37.76491711, -122.4334455)",37.76491711,-122.4334455,size_tiny,Castro
94114,CORONA HEIGHTS,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,13.38,8,80,"Roosevelt San Francisco, CA (37.76497671, -122.43879691)",37.76497671,-122.43879691,size_huge,Castro
94114,KITE HILL,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,2.87,8,74,"Yukon San Francisco, CA (37.75824114, -122.44166171)",37.75824114,-122.44166171,size_large,Castro
94114,MISSION DOLORES PARK,Neighborhood Park or Playground,PSA 6,"Field, Adrian",adrian.field@sfgov.org,(415) 717-2872,15.94,8,63,"19th San Francisco, CA (37.75975506, -122.42709405)",37.75975506,-122.42709405,size_huge,Castro
94114,PEIXOTTO PLAYGROUND,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.79,8,195,"15th St San Francisco, CA (37.76578838, -122.43790519)",37.76578838,-122.43790519,size_small,Castro
94114,SATURN STREET STEPS,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.1,8,79,"Saturn San Francisco, CA (37.7626853, -122.44055619)",37.7626853,-122.44055619,size_tiny,Castro
94114,ROOSEVELT/HENRY STEPS,Mini Park,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.34,8,107857,"299 Henry St San Francisco, CA (37.76655956, -122.43732268)",37.76655956,-122.43732268,size_small,Castro
94114,NOE VALLEY COURTS,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.93,8,72,"24th San Francisco, CA (37.75140324, -122.43892096)",37.75140324,-122.43892096,size_average,Castro
94114,STATES STREET PLAYGROUND,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,2.76,8,200,"86 States St San Francisco, CA (37.76380044, -122.43785312)",37.76380044,-122.43785312,size_large,Castro
94114,Corwin Community Garden,Community Garden,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,0.09,8,164221,"410 Douglass St San Francisco, CA (37.75723015, -122.43902313)",37.75723015,-122.43902313,size_tiny,Castro
94114,Clipper Terrace Community Garden,Community Garden,PSA 5,"Lockwood, Darlene",darlene.lockwood@sfgov.org,(415) 717-2872,0.35,8,135193,"855 Clipper Terrace San Francisco, CA (37.74785021, -122.44317435)",37.74785021,-122.44317435,size_small,Castro
94114,EUREKA VALLEY REC CENTER,Neighborhood Park or Playground,PSA 5,"O'Brien, Teresa",teresa.o'brien@sfgov.org,(415) 819-2699,1.93,8,75,"100 Collingwood St San Francisco, CA (37.75978957, -122.43648069)",37.75978957,-122.43648069,size_average,Castro
94115,JAPANTOWN PEACE PLAZA,Civic Plaza or Square,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.71,5,126,"Post San Francisco, CA (37.78520911, -122.42975098)",37.78520911,-122.42975098,size_small,Pacific Heights/Western Addition
94115,BEIDEMAN/O'FARRELL MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.06,5,106,"O'Farrell San Francisco, CA (37.78238894, -122.43861654)",37.78238894,-122.43861654,size_tiny,Pacific Heights/Western Addition
94115,FILLMORE/TURK MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.23,5,182,"Fillmore San Francisco, CA (37.78018588, -122.43178038)",37.78018588,-122.43178038,size_small,Pacific Heights/Western Addition
94115,RAYMOND KIMBELL PLAYGROUND,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0,5,124,"Geary Blvd San Francisco, CA (37.78294403, -122.43512653)",37.78294403,-122.43512653,size_tiny,Pacific Heights/Western Addition
94115,GOLDEN GATE/STEINER MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.08,5,120,"Golden Gate San Francisco, CA (37.77958265, -122.43345152)",37.77958265,-122.43345152,size_tiny,Pacific Heights/Western Addition
94115,BUSH/BRODERICK MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.18,5,108,"Baker San Francisco, CA (37.78557814, -122.44253511)",37.78557814,-122.44253511,size_tiny,Pacific Heights/Western Addition
94115,HAMILTON REC CENTER,Neighborhood Park or Playground,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,3.22,5,125,"1900 Geary Blvd San Francisco, CA (37.78441485, -122.43603929)",37.78441485,-122.43603929,size_large,Pacific Heights/Western Addition
94115,ALTA PLAZA,Neighborhood Park or Playground,PSA 1,"Figone, Joe",joseph.figone@sfgov.org,(415) 713-4997,11.91,2,129,"Jackson San Francisco, CA (37.79117333, -122.43766978)",37.79117333,-122.43766978,size_huge,Pacific Heights/Western Addition
94115,COTTAGE ROW MINI PARK,Mini Park,PSA 2,"O'Connor, Tom",tom.o'connor@sfgov.org,(415) 218-0259,0.16,5,127,"Sutter San Francisco, CA (37.78657099, -122.4323102)",37.78657099,-122.4323102,size_tiny,Pacific Heights/Western Addition
94116,HAWK HILL,Neighborhood Park or Playground,PSA 4,"Sheehy, Chuck",charles.sheehy@sfgov.org,(415) 218-2226,4.85,7,186,"14th Ave Rivera San Francisco, CA (37.74657651, -122.46872941)",37.74657651,-122.46872941,size_large,Outer Sunset
